,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,mean_acc,best_acc,worst_acc,std_acc
LogisticRegression,0.7450980392156863,0.7607843137254902,0.7450980392156863,0.7098039215686275,0.7047244094488189,0.7047244094488189,0.7007874015748031,0.7125984251968503,0.6889763779527559,0.7283464566929134,0.720094179404045,0.7607843137254902,0.6889763779527559,0.023451552315895827
RandomForestClassifier,0.8,0.7764705882352941,0.7843137254901961,0.7372549019607844,0.7755905511811023,0.7716535433070866,0.7795275590551181,0.7637795275590551,0.7677165354330708,0.7992125984251969,0.7755519530646905,0.8,0.7372549019607844,0.018051771568606947
XGBClassifier,0.7490196078431373,0.7686274509803922,0.788235294117647,0.7176470588235294,0.7677165354330708,0.7165354330708661,0.7322834645669292,0.7952755905511811,0.7283464566929134,0.7480314960629921,0.751171838814266,0.7952755905511811,0.7165354330708661,0.02811310508224901
AdaBoostClassifier,0.7019607843137254,0.7294117647058823,0.7372549019607844,0.6901960784313725,0.7716535433070866,0.7125984251968503,0.7480314960629921,0.6929133858267716,0.7322834645669292,0.7204724409448819,0.7236776285317275,0.7716535433070866,0.6901960784313725,0.02551291278871719
GradientBoostingClassifier,0.7764705882352941,0.7725490196078432,0.792156862745098,0.7529411764705882,0.7755905511811023,0.7401574803149606,0.7874015748031497,0.7716535433070866,0.7480314960629921,0.7677165354330708,0.7684668828161186,0.792156862745098,0.7401574803149606,0.01673983999461151
LGBMClassifier,0.7725490196078432,0.7450980392156863,0.7725490196078432,0.7098039215686275,0.7834645669291339,0.7519685039370079,0.7519685039370079,0.7519685039370079,0.7440944881889764,0.7637795275590551,0.7547244094488189,0.7834645669291339,0.7098039215686275,0.020520241436326893
